[gene_name]	expression
AC006455.3	0
AC006455.4	0
AC006455.5	0
AC006455.6	0
AC006455.7	0
AC006455.8	0
AC006457.1	0
AC006458.1	1
AC006459.1	0
AC006460.1	2
AC006460.2	21
AC006461.1	1
AC006463.1	0
AC006466.1	0
AC006478.1	0
AC006478.2	2
AC006480.1	0
AC006480.2	33
AC006482.1	0
AC006483.1	0
AC006483.2	2
AC006484.1	1
AC006486.1	0
AC006486.2	26
AC006487.1	2
AC006487.2	3
AC006499.1	1
AC006499.2	0
AC006499.3	0
AC006499.4	0
AC006499.5	0
AC006499.6	0
AC006499.7	0
AC006499.8	0
AC006504.1	109
AC006504.2	0
AC006504.3	3
AC006504.4	1
AC006504.5	95
AC006504.6	0
AC006504.7	0
AC006509.1	0
AC006509.2	1
AC006511.1	3
AC006511.2	4
AC006511.3	70
AC006511.4	1
AC006511.5	12
AC006511.6	1
AC006512.1	4
AC006512.2	0
AC006517.1	0
AC006517.2	3
AC006518.1	1
AC006518.2	12
AC006518.7	0
AC006525.1	0
AC006529.1	0
AC006530.1	1
AC006538.1	450
AC006538.2	24
AC006538.3	0
AC006538.4	94
AC006538.5	8
AC006539.1	0
AC006539.2	0
AC006539.3	1
AC006547.1	1
AC006547.2	15
AC006547.3	0
AC006548.1	1
AC006548.2	0
AC006548.3	0
AC006557.1	0
AC006557.2	1
AC006557.3	0
AC006557.4	0
AC006557.5	0
AC006557.6	1
AC006566.1	1
AC006566.2	2
AC006581.1	1
AC006581.2	0
AC006600.1	0
